time setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.31 0.145972 -0.00861281 0.125063 -0.126424 0.0898083 0.111125 -0.0166109 -0.111358 0.0449089
0.312 0.14703 -0.00983486 0.123853 -0.125272 0.0909527 0.111379 -0.0164754 -0.111637 0.04491
0.314 0.148048 -0.011112 0.122587 -0.124066 0.0920945 0.111603 -0.0163681 -0.111885 0.0449033
0.316 0.149025 -0.0124437 0.121268 -0.122806 0.0932331 0.111797 -0.0162896 -0.112104 0.0448888
0.318 0.14996 -0.0138295 0.119894 -0.121493 0.0943676 0.111958 -0.0162404 -0.112291 0.0448667
0.32 0.150852 -0.0152689 0.118467 -0.120126 0.0954972 0.112089 -0.016221 -0.112448 0.0448369
0.322 0.1517 -0.0167613 0.116986 -0.118707 0.0966212 0.112186 -0.0162318 -0.112573 0.0447997
0.324 0.152502 -0.018306 0.115454 -0.117236 0.0977387 0.112252 -0.0162733 -0.112666 0.0447551
0.326 0.153259 -0.0199024 0.11387 -0.115713 0.0988491 0.112284 -0.0163459 -0.112727 0.0447032
0.328 0.153969 -0.0215496 0.112235 -0.11414 0.0999514 0.112283 -0.0164499 -0.112756 0.0446441
0.33 0.154631 -0.023247 0.11055 -0.112516 0.101045 0.112248 -0.0165859 -0.112751 0.0445779
0.332 0.155244 -0.0249937 0.108816 -0.110844 0.102129 0.112179 -0.016754 -0.112713 0.0445048
0.334 0.155808 -0.0267887 0.107033 -0.109123 0.103202 0.112076 -0.0169547 -0.112641 0.0444247
0.336 0.156322 -0.0286313 0.105203 -0.107354 0.104265 0.111939 -0.0171883 -0.112535 0.0443374
0.338 0.156785 -0.0305204 0.103326 -0.105539 0.105315 0.111767 -0.0174549 -0.112395 0.0442428
0.34 0.157196 -0.032455 0.101403 -0.103678 0.106353 0.111559 -0.0177549 -0.112221 0.044141
0.342 0.157554 -0.034434 0.0994366 -0.101772 0.107377 0.111317 -0.0180885 -0.112012 0.0440321
0.344 0.15786 -0.0364563 0.0974263 -0.0998218 0.108386 0.111039 -0.0184558 -0.111768 0.0439161
0.346 0.158112 -0.0385209 0.0953737 -0.0978293 0.109381 0.110726 -0.0188571 -0.111489 0.0437931
0.348 0.158309 -0.0406264 0.09328 -0.0957951 0.110359 0.110377 -0.0192925 -0.111175 0.0436634
0.35 0.158451 -0.0427717 0.0911465 -0.0937203 0.111321 0.109992 -0.0197621 -0.110826 0.0435277
0.352 0.158539 -0.0449555 0.0889743 -0.0916063 0.112265 0.109572 -0.020266 -0.110442 0.0433862
0.354 0.15857 -0.0471764 0.0867648 -0.0894541 0.113191 0.109115 -0.0208042 -0.110022 0.0432391
0.356 0.158544 -0.0494332 0.0845192 -0.0872651 0.114098 0.108623 -0.0213768 -0.109567 0.0430863
0.358 0.158463 -0.0517244 0.0822391 -0.0850405 0.114985 0.108096 -0.0219837 -0.109076 0.0429279
0.36 0.158323 -0.0540486 0.0799257 -0.0827816 0.115852 0.107532 -0.022625 -0.108551 0.0427636
0.362 0.158127 -0.0564044 0.0775806 -0.0804899 0.116697 0.106933 -0.0233006 -0.107989 0.0425933
0.364 0.157872 -0.0587901 0.0752052 -0.0781668 0.117521 0.106299 -0.0240104 -0.107393 0.0424166
0.366 0.15756 -0.0612044 0.0728011 -0.0758135 0.118322 0.105629 -0.0247543 -0.106761 0.0422337
0.368 0.157189 -0.0636456 0.0703697 -0.0734318 0.119099 0.104923 -0.0255321 -0.106095 0.0420443
0.37 0.15676 -0.066112 0.0679128 -0.0710229 0.119852 0.104183 -0.0263437 -0.105393 0.0418484
0.372 0.156272 -0.0686022 0.0654319 -0.0685886 0.12058 0.103408 -0.0271889 -0.104657 0.0416459
0.374 0.155725 -0.0711143 0.0629286 -0.0661302 0.121283 0.102598 -0.0280674 -0.103887 0.041437
0.376 0.155119 -0.0736468 0.0604047 -0.0636495 0.12196 0.101754 -0.0289789 -0.103082 0.0412215
0.378 0.154455 -0.0761978 0.0578619 -0.0611481 0.12261 0.100877 -0.0299233 -0.102243 0.0409994
0.38 0.153732 -0.0787656 0.0553018 -0.0586275 0.123232 0.0999651 -0.0309002 -0.101371 0.040771
0.382 0.152949 -0.0813485 0.0527263 -0.0560896 0.123826 0.0990202 -0.0319091 -0.100465 0.040536
0.384 0.152109 -0.0839446 0.0501371 -0.0535359 0.124392 0.0980426 -0.0329498 -0.0995266 0.0402946
0.386 0.151209 -0.0865522 0.0475361 -0.0509682 0.124928 0.0970324 -0.0340219 -0.0985555 0.0400468
0.388 0.150251 -0.0891693 0.044925 -0.0483882 0.125434 0.0959902 -0.0351248 -0.0975521 0.0397926
0.39 0.149235 -0.091794 0.0423058 -0.0457978 0.12591 0.0949165 -0.0362582 -0.0965171 0.039532
0.392 0.148161 -0.0944246 0.0396803 -0.0431986 0.126355 0.0938118 -0.0374215 -0.0954507 0.0392651
0.394 0.147029 -0.0970591 0.0370504 -0.0405926 0.126769 0.0926765 -0.0386143 -0.0943535 0.0389919
0.396 0.14584 -0.0996955 0.034418 -0.0379815 0.12715 0.0915113 -0.0398359 -0.0932261 0.0387123
0.398 0.144594 -0.102332 0.0317851 -0.0353672 0.127499 0.0903168 -0.0410858 -0.0920689 0.0384265
0.4 0.143291 -0.104966 0.0291535 -0.0327515 0.127814 0.0890935 -0.0423634 -0.0908826 0.0381343
0.402 0.141932 -0.107597 0.0265252 -0.0301363 0.128097 0.0878421 -0.0436681 -0.0896677 0.0378357
0.404 0.140517 -0.110222 0.0239022 -0.0275234 0.128345 0.0865633 -0.0449992 -0.0884248 0.0375309
0.406 0.139047 -0.112839 0.0212865 -0.0249149 0.128559 0.0852578 -0.046356 -0.0871546 0.0372197
0.408 0.137522 -0.115446 0.0186799 -0.0223125 0.128738 0.0839262 -0.0477378 -0.0858578 0.0369023
0.41 0.135944 -0.118041 0.0160846 -0.0197182 0.128882 0.0825694 -0.0491438 -0.084535 0.0365785
0.412 0.134312 -0.120622 0.0135025 -0.0171338 0.128991 0.0811881 -0.0505734 -0.083187 0.0362483
0.414 0.132627 -0.123188 0.0109356 -0.0145614 0.129063 0.079783 -0.0520257 -0.0818145 0.0359116
0.416 0.13089 -0.125735 0.00838588 -0.0120029 0.1291 0.0783551 -0.0534999 -0.0804183 0.0355683
0.418 0.129102 -0.128263 0.00585534 -0.00946011 0.1291 0.0769051 -0.0549951 -0.0789992 0.0352182
0.42 0.127264 -0.130769 0.00334599 -0.00693503 0.129063 0.0754339 -0.0565106 -0.0775579 0.0348607
0.422 0.125376 -0.133251 0.000859814 -0.00442958 0.128989 0.0739424 -0.0580454 -0.0760954 0.0344955
0.424 0.123439 -0.135706 -0.0016012 -0.00194568 0.128878 0.0724316 -0.0595986 -0.0746124 0.0341222
0.426 0.121454 -0.138135 -0.00403507 0.000514733 0.128729 0.0709022 -0.0611693 -0.0731099 0.0337408
0.428 0.119422 -0.140533 -0.00643982 0.00294975 0.128543 0.0693554 -0.0627566 -0.0715887 0.0333511
0.43 0.117344 -0.142899 -0.00881348 0.00535745 0.128319 0.067792 -0.0643594 -0.0700498 0.0329531
0.432 0.115221 -0.145231 -0.0111541 0.00773594 0.128057 0.0662131 -0.0659769 -0.0684941 0.0325467
0.434 0.113055 -0.147528 -0.0134597 0.0100833 0.127757 0.0646196 -0.0676079 -0.0669226 0.0321319
0.436 0.110845 -0.149787 -0.0157284 0.0123977 0.127419 0.0630127 -0.0692515 -0.0653362 0.0317088
0.438 0.108593 -0.152006 -0.0179583 0.0146772 0.127042 0.0613932 -0.0709066 -0.063736 0.0312773
0.44 0.106301 -0.154184 -0.0201475 0.01692 0.126627 0.0597624 -0.0725721 -0.0621229 0.0308377
0.442 0.103969 -0.156318 -0.022294 0.0191242 0.126174 0.0581213 -0.074247 -0.060498 0.0303923
0.444 0.101599 -0.158407 -0.024396 0.0212881 0.125682 0.0564709 -0.0759302 -0.0588623 0.0299405
0.446 0.0991913 -0.160449 -0.0264518 0.0234097 0.125152 0.0548125 -0.0776206 -0.0572169 0.0294821
0.448 0.0967479 -0.162442 -0.0284594 0.0254873 0.124584 0.0531471 -0.0793168 -0.0555629 0.0290714
0.45 0.0942698 -0.164384 -0.0304171 0.0275192 0.123978 0.0514758 -0.081018 -0.0539013 0.0286846
0.452 0.0917584 -0.166273 -0.0323231 0.0295035 0.123333 0.0497999 -0.0827231 -0.0522332 0.0283096
0.454 0.0892149 -0.168108 -0.0341757 0.0314386 0.122651 0.0481204 -0.0844307 -0.0505598 0.0279409
0.456 0.0866408 -0.169887 -0.0359732 0.0333228 0.121931 0.0464386 -0.0861398 -0.0488822 0.027576
0.458 0.0840373 -0.171609 -0.0377138 0.0351544 0.121173 0.0447556 -0.0878492 -0.0472014 0.027214
