d_amplitudeForeHip d_amplitudeHindHip d_offsetForeHip d_offsetHindHip d_amplitudeForeKnee d_amplitudeHindKnee d_offsetKnee d_kneePhaseLag d_frequency d_duration distance angle stability
0.45 0.45 0.0667 -0.0667 0.6533 0.5467 0.2 0.8 2 15 1.62279 0.877149 494.644 
0.45 0.45 0.0667 -0.0667 0.6533 0.5267 0.2 0.8 2 15 0.754394 0.845813 492.112 
0.45 0.45 0.0667 -0.0667 0.6533 0.5067 0.2 0.8 2 9.046 0.898978 0.171907 483.498 
0.45 0.45 0.0667 -0.0667 0.6533 0.4867 0.2 0.8 2 15 1.26058 0.862591 493.196 
0.45 0.45 0.0667 -0.0667 0.6533 0.4667 0.2 0.8 2 1.46 0.231389 0.171449 439.316 
0.45 0.45 0.0667 -0.0667 0.6533 0.4467 0.2 0.8 2 1.458 0.152762 0.171762 444.232 
0.45 0.45 0.0667 -0.0667 0.6533 0.4267 0.2 0.8 2 15 2.49655 0.752452 495.514 
0.45 0.45 0.0667 -0.0667 0.6533 0.4067 0.2 0.8 2 15 2.29962 0.746263 495.418 
0.45 0.45 0.0667 -0.0667 0.6533 0.3867 0.2 0.8 2 1.826 0.143772 0.169596 406.001 
0.45 0.45 0.0667 -0.0667 0.6533 0.3667 0.2 0.8 2 1.518 0.206892 0.1732 393.352 
0.45 0.45 0.0667 -0.0667 0.6533 0.3467 0.2 0.8 2 1.192 0.0329063 0.168577 419.219 
0.45 0.45 0.0667 -0.0667 0.6533 0.3267 0.2 0.8 2 15 1.74556 0.583126 489.116 
0.45 0.45 0.0667 -0.0667 0.6533 0.3067 0.2 0.8 2 2.498 0.256637 0.172863 401.851 
0.45 0.45 0.0667 -0.0667 0.6533 0.2867 0.2 0.8 2 15 1.63588 0.877039 496.775 
0.45 0.45 0.0667 -0.0667 0.6533 0.2667 0.2 0.8 2 15 1.52341 0.864399 496.779 
0.45 0.45 0.0667 -0.0667 0.6533 0.2467 0.2 0.8 2 3.464 0.199084 0.17138 463.876 
0.45 0.45 0.0667 -0.0667 0.6533 0.2267 0.2 0.8 2 3.808 0.0312446 0.16664 457.776 
0.45 0.45 0.0667 -0.0667 0.6533 0.2067 0.2 0.8 2 15 1.15528 0.885917 496.26 
0.45 0.45 0.0667 -0.0667 0.6533 0.1867 0.2 0.8 2 4.536 0 0.169259 456.398 
